Task Name,Category,Days to Deadline,Interest Level,Duration,Age,Gender,Priority
Maths Homework,Educational,2,3,90,10,Male,High
Sinhala Essay Writing,Educational,5,2,60,9,Female,Medium
Play Cricket,Other,3,9,75,11,Male,High
Read Fairy Tales,Other,6,8,60,7,Female,Medium
Science Experiment,Educational,1,1,120,12,Male,High
Help Parents Cook,Other,4,9,90,9,Female,Medium
Dance Rehearsal,Other,2,7,60,9,Female,High
Art Project,Educational,7,4,60,6,Male,Low
Gardening,Other,5,6,90,8,Male,Medium
Sinhala Reading Practice,Educational,3,4,90,7,Female,Medium
Play Football,Other,2,9,120,12,Male,High
Write a Short Story,Educational,3,1,60,10,Female,Medium
Practice Guitar,Other,6,8,90,12,Male,Medium
Tamil Vocabulary Practice,Educational,4,3,60,6,Female,Medium
Painting Competition,Educational,3,5,120,12,Male,High
Badminton Practice,Other,2,8,90,11,Female,High
English Spelling Practice,Educational,5,2,90,9,Male,Medium
Build LEGO Tower,Other,7,9,60,8,Male,Low
Clean Bedroom,Other,4,6,60,7,Female,Medium
Science Quiz Preparation,Educational,2,4,90,10,Male,High
Maths Homework,Educational,2,3,90,10,Male,High
Sinhala Essay Writing,Educational,5,2,60,9,Female,Medium
Play Cricket,Other,3,9,75,11,Male,High
Read Fairy Tales,Other,6,8,60,7,Female,Medium
Science Experiment,Educational,1,1,120,12,Male,High
Help Parents Cook,Other,4,9,90,9,Female,Medium
Dance Rehearsal,Other,2,7,60,9,Female,High
Art Project,Educational,7,4,60,6,Male,Low
Gardening,Other,5,6,90,8,Male,Medium
Sinhala Reading Practice,Educational,3,4,90,7,Female,Medium
Play Football,Other,2,9,120,12,Male,High
Write a Short Story,Educational,3,1,60,10,Female,Medium
Practice Guitar,Other,6,8,90,12,Male,Medium
Tamil Vocabulary Practice,Educational,4,3,60,6,Female,Medium
Painting Competition,Educational,3,5,120,12,Male,High
Badminton Practice,Other,2,8,90,11,Female,High
English Spelling Practice,Educational,5,2,90,9,Male,Medium
Build LEGO Tower,Other,7,9,60,8,Male,Low
Clean Bedroom,Other,4,6,60,7,Female,Medium
Science Quiz Preparation,Educational,2,4,90,10,Male,High
Maths Homework,Educational,2,3,90,10,Male,High
Sinhala Essay Writing,Educational,5,2,60,9,Female,Medium
Play Cricket,Other,3,9,75,11,Male,High
Read Fairy Tales,Other,6,8,60,7,Female,Medium
Science Experiment,Educational,1,1,120,12,Male,High
Help Parents Cook,Other,4,9,90,9,Female,Medium
Dance Rehearsal,Other,2,7,60,9,Female,High
Art Project,Educational,7,4,60,6,Male,Low
Gardening,Other,5,6,90,8,Male,Medium
Sinhala Reading Practice,Educational,3,4,90,7,Female,Medium
Play Football,Other,2,9,120,12,Male,High
Write a Short Story,Educational,3,1,60,10,Female,Medium
Practice Guitar,Other,6,8,90,12,Male,Medium
Tamil Vocabulary Practice,Educational,4,3,60,6,Female,Medium
Painting Competition,Educational,3,5,120,12,Male,High
Badminton Practice,Other,2,8,90,11,Female,High
English Spelling Practice,Educational,5,2,90,9,Male,Medium
Build LEGO Tower,Other,7,9,60,8,Male,Low
Clean Bedroom,Other,4,6,60,7,Female,Medium
Science Quiz Preparation,Educational,2,4,90,10,Male,High
Maths Homework,Educational,2,3,90,10,Male,High
Sinhala Essay Writing,Educational,5,2,60,9,Female,Medium
Play Cricket,Other,3,9,75,11,Male,High
Read Fairy Tales,Other,6,8,60,7,Female,Medium
Science Experiment,Educational,1,1,120,12,Male,High
Help Parents Cook,Other,4,9,90,9,Female,Medium
Dance Rehearsal,Other,2,7,60,9,Female,High
Art Project,Educational,7,4,60,6,Male,Low
Gardening,Other,5,6,90,8,Male,Medium
Sinhala Reading Practice,Educational,3,4,90,7,Female,Medium
Play Football,Other,2,9,120,12,Male,High
Write a Short Story,Educational,3,1,60,10,Female,Medium
Practice Guitar,Other,6,8,90,12,Male,Medium
Tamil Vocabulary Practice,Educational,4,3,60,6,Female,Medium
Painting Competition,Educational,3,5,120,12,Male,High
Badminton Practice,Other,2,8,90,11,Female,High
English Spelling Practice,Educational,5,2,90,9,Male,Medium
Build LEGO Tower,Other,7,9,60,8,Male,Low
Clean Bedroom,Other,4,6,60,7,Female,Medium
Science Quiz Preparation,Educational,2,4,90,10,Male,High
Maths Homework,Educational,2,3,90,10,Male,High
